dataset,obs_fraction,noise_fraction,cases,physics_necessary_rate,physics_unnecessary_rate,physics_rejected_rate,mean_physics_gain,mean_data_only_error,mean_physics_error
ks,0.05,0.0,5,1.0,0.0,0.0,0.0017520080285261142,0.016420775126965503,0.01466876709843939
ks,0.05,0.01,5,1.0,0.0,0.0,0.0028798260486722995,0.022784035808616633,0.01990420975994433
ks,0.05,0.03,5,1.0,0.0,0.0,0.004163159329360391,0.02474035959957823,0.02057720027021784
ks,0.05,0.05,5,1.0,0.0,0.0,0.008072096715654828,0.037349293005156346,0.029277196289501522
ks,0.1,0.0,5,0.4,0.2,0.6,0.00031025810705226825,0.004776139586624155,0.004465881479571886
ks,0.1,0.01,5,1.0,0.0,0.0,0.0020807166464885075,0.010106224927690094,0.008025508281201587
ks,0.1,0.03,5,1.0,0.0,0.0,0.008444715854187245,0.023244320550011858,0.01479960469582461
ks,0.1,0.05,5,1.0,0.0,0.0,0.01415395093730642,0.038569747060149505,0.024415796122843083
ks,0.2,0.0,5,0.0,0.2,0.8,2.1844393599224986e-05,0.0020567061919873893,0.0020348617983881644
ks,0.2,0.01,5,0.8,0.0,0.2,0.003081828995204402,0.008674312708601004,0.005592483713396602
ks,0.2,0.03,5,1.0,0.0,0.0,0.01222452432506976,0.024696005058467467,0.012471480733397707
ks,0.2,0.05,5,1.0,0.0,0.0,0.021994027051287106,0.04158839198370204,0.019594364932414933
nls,0.03,0.0,5,0.2,0.4,0.0,0.0018853132698190612,0.07048117083529484,0.06859585756547579
nls,0.03,0.01,5,0.6,0.2,0.0,0.0026746655858208763,0.06173311694002407,0.05905845135420319
nls,0.03,0.03,5,0.6,0.0,0.0,0.003323298018865424,0.06550883752045134,0.06218553950158591
nls,0.03,0.05,5,1.0,0.0,0.0,0.005220786749359667,0.07650983213546556,0.07128904538610589
nls,0.05,0.0,5,0.2,0.2,0.0,0.0012109167442382412,0.04330473156961625,0.04209381482537801
nls,0.05,0.01,5,0.2,0.6,0.0,0.0015929360353540505,0.04252828645827659,0.04093535042292253
nls,0.05,0.03,5,0.8,0.0,0.0,0.003733676418804023,0.04756655038747837,0.043832873968674343
nls,0.05,0.05,5,1.0,0.0,0.0,0.008627002132550155,0.06076120456060528,0.05213420242805511
nls,0.1,0.0,5,0.0,0.0,0.0,-0.002194661984622249,0.019817012913475825,0.02201167489809807
nls,0.1,0.01,5,0.2,0.0,0.0,-0.0006892716798501078,0.021918431924234073,0.02260770360408418
nls,0.1,0.03,5,1.0,0.0,0.0,0.006013191429445691,0.030391963949996402,0.02437877252055071
nls,0.1,0.05,5,1.0,0.0,0.0,0.014725076068020305,0.04569991528716007,0.03097483921913976
nls,0.2,0.0,5,0.0,0.2,0.0,-0.00028186189682584406,0.009749134658211768,0.010030996555037612
nls,0.2,0.01,5,0.0,0.2,0.0,-0.0006943388643838522,0.012937754237922827,0.01363209310230668
nls,0.2,0.03,5,1.0,0.0,0.0,0.012000058180923307,0.028614076856321634,0.01661401867539833
nls,0.2,0.05,5,1.0,0.0,0.0,0.02373504018745904,0.046569888710106574,0.022834848522647534
