dataset,dataset_title,equation,trial,obs_fraction,noise_fraction,candidate,candidate_family,accepted_by_noharm,chosen_safe_output,certificate_rank,radius,baseline_radius,certificate_ratio,hidden_rel_error,baseline_hidden_rel_error,hidden_error_ratio,data_residual,pde_residual,bc_residual,ic_residual,spectral_residual,noise_bound,physics_gain_over_data_only,data_only_hidden_error,physics_candidate_hidden_error,physics_necessary,physics_unnecessary,physics_rejected,unsafe_if_selected,notes
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,data_only_lowrank,data_only,False,physics_filtered_s1.3,7,15.251659597678124,13.570534837679418,1.1238805087718309,0.04519513976497626,0.040772522437701735,1.108470535099308,0.0,101.04100137371567,0.8365916584657844,0.049535610347243686,0.001216775134248657,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,data-driven candidate without PDE residual selection
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,risky_sensor_overfit,risky,False,physics_filtered_s1.3,8,104.04727316251763,13.570534837679418,7.667146093138228,0.20415187021336478,0.040772522437701735,5.007094435236157,0.0,691.8167169731695,4.181894824578206,0.25531997609495,0.03525374170297492,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,fits observed points but injects high-frequency nonphysical structure
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1,3.565238339898243,13.570534837679418,0.26271907353267154,0.048473112765723816,0.040772522437701735,1.1888671552906571,0.03994481944299706,22.998175356023086,0.4446260671427893,0.043348385962543944,0.0005260994621490352,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,6,14.033702903013625,13.570534837679418,1.0341304208620545,0.04275989983944541,0.040772522437701735,1.0487430573796739,0.0005843709577459233,92.92987467202283,0.8012074920197593,0.04762837915228781,0.001066965408861382,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,4,8.777287730658465,13.570534837679418,0.6467901107543045,0.03344727071251371,0.040772522437701735,0.8203385199627773,0.004730560934556487,57.90905462246125,0.6607849653113179,0.03970843848707222,0.0006423348278502121,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,3,6.275917049966464,13.570534837679418,0.46246644845128243,0.030054128479887462,0.040772522437701735,0.7371172221456612,0.008390039284635869,41.231719166366695,0.5953732193451261,0.0365731725582316,0.0005925341649517861,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,2,0.1,0.05,physics_filtered_s2,physics_informed,False,physics_filtered_s1.3,2,5.031343408409721,13.570534837679418,0.37075498265842244,0.03247960774728921,0.040772522437701735,0.7966053068244608,0.0152585841973364,32.909695556012146,0.533447944761668,0.03573511834540354,0.0005829646360173032,0.05114218942340849,0.015141011285088796,0.04519513976497626,0.030054128479887462,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,baseline_linear,baseline,True,physics_filtered_s1.3,5,13.398063718110501,13.398063718110501,0.9999999999999254,0.041502581413459264,0.041502581413459264,0.9999999999759052,0.0,88.74241056023877,0.6816989083654619,0.05111243503366884,0.000924359415131155,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,old inverse baseline: interpolation from sparse/noisy observations
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,data_only_lowrank,data_only,False,physics_filtered_s1.3,7,15.10354774486799,13.398063718110501,1.1272933210827334,0.045367960567901384,0.041502581413459264,1.093135873039826,0.0,100.07368174683182,0.804855847333977,0.04354730950444877,0.0011995213464766736,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,data-driven candidate without PDE residual selection
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,risky_sensor_overfit,risky,False,physics_filtered_s1.3,8,104.15353105583524,13.398063718110501,7.7737748712928205,0.20293025844964455,0.041502581413459264,4.889581600313296,0.0,692.5900605866619,4.059124680580871,0.20577026090837583,0.03523743655057607,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,fits observed points but injects high-frequency nonphysical structure
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1,3.52568196896113,13.398063718110501,0.26314861931841044,0.05131201140060282,0.041502581413459264,1.2363571048312192,0.039886768013205835,22.762129200669577,0.3918508046646724,0.03683144344992713,0.0005271901557302536,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,6,13.917064524442235,13.398063718110501,1.0387370009017907,0.04303666069630925,0.041502581413459264,1.0369634665981409,0.0005772894985453582,92.1716306305266,0.7721165862811004,0.04137856605454197,0.0010506762789615784,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
