candidate,step,time,kinetic_energy,enstrophy,dissipation,divergence_l2,divergence_max,max_cfl
learned_calibrated_dns,20,0.03,0.12610649205623176,0.3794813536300423,0.007589627072600846,8.457794970621321e-16,4.3065447277588e-15,0.005819188651968431
learned_calibrated_dns,25,0.0375,0.12604958141860614,0.37932790186857235,0.007586558037371447,8.74232175633261e-16,4.850173675743046e-15,0.005818004864349957
learned_calibrated_dns,30,0.045,0.12599269345990616,0.37917896541658613,0.007583579308331723,8.405097760518049e-16,4.278790275893669e-15,0.005816748768864663
learned_calibrated_dns,35,0.0525,0.12593582750397134,0.3790345291698496,0.007580690583396992,8.816820121622013e-16,4.246665213787808e-15,0.005815420582493766
learned_calibrated_dns,40,0.06,0.12587898287688776,0.3788945782805961,0.007577891565611922,8.16157955341898e-16,4.2075640192630005e-15,0.005814020550638841
learned_calibrated_dns,45,0.0675,0.12582215890694942,0.3787590981545235,0.0075751819630904705,8.122646956741565e-16,3.5506811237633924e-15,0.005812548946828704
learned_calibrated_dns,50,0.075,0.12576535492462085,0.3786280744477935,0.00757256148895587,8.600354408724193e-16,4.294375315077807e-15,0.005811006072402895
learned_calibrated_dns,53,0.0795,0.12573128185154925,0.3785515934307431,0.007571031868614863,8.079193651733824e-16,4.278107111211428e-15,0.005810046273505076
learned_aggressive_dns,0,0.0,0.15133125000000003,0.4551312500000001,0.006371837500000001,8.766989503332813e-16,4.1913709210877595e-15,0.006367506106703153
learned_aggressive_dns,5,0.0075,0.15128346873814771,0.4549891077757125,0.006369847508859975,1.0742228349919797e-15,5.1835117065866574e-15,0.006366980458915023
learned_aggressive_dns,10,0.015,0.15123570205992728,0.45485346384788494,0.006367948493870388,9.256467275333011e-16,5.438792186329905e-15,0.006366361890430001
learned_aggressive_dns,15,0.0225,0.1511879492838565,0.4547243023095191,0.0063661402323332665,1.0040721934591296e-15,4.363203567386066e-15,0.006365650442266604
learned_aggressive_dns,20,0.03,0.1511402097301011,0.45460160767635566,0.006364422507468979,9.448548082951058e-16,4.980042446716344e-15,0.006364846199944311
learned_aggressive_dns,25,0.0375,0.15109248272043058,0.454485364883281,0.0063627951083659335,9.207771228697086e-16,4.3350981483991095e-15,0.006363949293316309
