candidate,step,time,kinetic_energy,enstrophy,dissipation,divergence_l2,divergence_max,max_cfl
baseline_robust_dns,10,0.02,0.11752384735930763,0.35371366934581183,0.008489128064299484,4.158003516450118e-16,1.841988929458865e-15,0.004995115339928108
baseline_robust_dns,12,0.024,0.11748989554116088,0.35361606409281177,0.008486785538227482,4.3778752415519413e-16,1.9134972674398104e-15,0.0049945037621656795
baseline_robust_dns,14,0.028,0.11745595303880887,0.35351958987011023,0.008484470156882645,4.107019613453349e-16,1.795793864328476e-15,0.0049938755162263005
baseline_robust_dns,16,0.032,0.11742201974379299,0.35342424417425,0.008482181860182,4.026009283504309e-16,1.8289889057986388e-15,0.004993230629040365
baseline_robust_dns,18,0.036000000000000004,0.11738809554789409,0.3533300245203105,0.008479920588487452,3.99741893440017e-16,1.4702777822219475e-15,0.004992569128994526
baseline_robust_dns,20,0.04,0.11735418034313069,0.3532369284417807,0.008477686282602736,4.081936167029008e-16,1.6483765892141786e-15,0.004991891045923626
learned_calibrated_dns,0,0.0,0.126334375,0.380140625,0.0076028125,3.7789950579775287e-16,1.8246893883610983e-15,0.005176175460663138
learned_calibrated_dns,2,0.004,0.12630396744381234,0.3800484973070548,0.007600969946141096,4.320139516038635e-16,2.120246268458133e-15,0.0051757604257781685
learned_calibrated_dns,4,0.008,0.1262735672056456,0.3799576740636909,0.0075991534812738185,4.285850527338825e-16,2.177777256535733e-15,0.005175326954941496
learned_calibrated_dns,6,0.012,0.12624317418124303,0.3798681527896567,0.007597363055793134,4.3433225712001397e-16,1.823014149465856e-15,0.005174875063090505
learned_calibrated_dns,8,0.016,0.12621278826654564,0.3797799310266498,0.007595598620532996,4.919228861969691e-16,1.8812835677009862e-15,0.005174404766935446
learned_calibrated_dns,10,0.02,0.1261824093576901,0.37969300633818714,0.007593860126763743,4.850411811391837e-16,2.3933725093682274e-15,0.00517391608495244
learned_calibrated_dns,12,0.024,0.12615203735100725,0.3796073763094744,0.007592147526189488,4.757852846638511e-16,1.9957287258084156e-15,0.005173409037376309
learned_calibrated_dns,14,0.028,0.12612167214302017,0.37952303854727587,0.007590460770945518,4.740436629591881e-16,1.999399030373921e-15,0.005172883646193197
learned_calibrated_dns,16,0.032,0.12609131363044251,0.3794399906797833,0.007588799813595666,4.3236111708210837e-16,1.8773809287218477e-15,0.005172339935133008
learned_calibrated_dns,18,0.036000000000000004,0.12606096171017692,0.37935823035648586,0.007587164607129718,4.606579628718483e-16,1.9294366012216815e-15,0.005171777929661641
learned_calibrated_dns,20,0.04,0.1260306162793131,0.3792777552480391,0.007585555104960782,4.2741951045836826e-16,1.8549594202312445e-15,0.00517119765697306
learned_aggressive_dns,0,0.0,0.15133125000000003,0.45513125000000015,0.0063718375000000015,4.769364805419988e-16,2.0034110522429155e-15,0.005660005428180579
learned_aggressive_dns,2,0.004,0.1513057648039695,0.4550546311511604,0.006370764836116245,5.814536555721338e-16,2.4981562883276265e-15,0.005659766740914674
learned_aggressive_dns,4,0.008,0.15128028384676762,0.45497986284848607,0.006369718079878804,5.710779522030694e-16,2.528867982656453e-15,0.00565950456194926
learned_aggressive_dns,6,0.012,0.15125480702483282,0.45490694263369197,0.006368697196871687,4.682354072122211e-16,2.1593584681544993e-15,0.005659218897977427
learned_aggressive_dns,8,0.016,0.15122933423474022,0.4548358680829647,0.0063677021531615054,5.331344356417489e-16,2.285811769180201e-15,0.005658909758409779
learned_aggressive_dns,10,0.02,0.15120386537319974,0.45476663680680895,0.006366732915295325,5.426379982304753e-16,2.2640244550615994e-15,0.0056585771553675605
learned_aggressive_dns,12,0.024,0.15117840033705404,0.4546992464498919,0.006365789450298486,5.62946406234727e-16,2.474595870748115e-15,0.005658221103675394
learned_aggressive_dns,14,0.028,0.15115293902327687,0.4546336946908863,0.006364871725672408,5.555310281854089e-16,2.322024191889228e-15,0.0056578416208536465
learned_aggressive_dns,16,0.032,0.15112748132897091,0.4545699792423147,0.006363979709392405,5.494851678349712e-16,2.221691972386318e-15,0.005657438727110417
